rating,books,movies,updated,created,text
"rate 1, label ONE","id None, metadata title A PASSAGE TO INDIA, pages unknown","id 0, title BEAUTY AND THE BEAST, id 0, title end",2021-12-17T114940.461+0100,2021-12-02T061135.525+0100,Solitudo magnam vulpes. Aequitas vitium deputo.
"rate 5, label FIVE","id None, metadata title THE MAN WITHIN, pages unknown","id 0, title end, id 0, title STAR WARS EPISODE VII - THE FORCE AWAKENS",2021-12-01T135810.255+0100,2021-12-19T121058.433+0100,Adhuc ad velum. Cibus tum desino.
"rate 1, label ONE","id None, metadata title VANITY FAIR, pages unknown","id 0, title end, id 0, title THE BIG LEBOWSKI",2021-12-27T194135.611+0100,2021-12-24T183806.107+0100,Tersus velit assentator. Tantillus summa molestiae.
"rate 5, label FIVE","id None, metadata title THE MOVING TOYSHOP, pages unknown","id 0, title end, id 0, title MARY AND MAX",2021-12-16T054345.345+0100,2021-12-26T123127.736+0100,Pecco quis magni. Campana fuga tersus.
"rate 3, label THREE","id None, metadata title ENDLESS NIGHT, pages unknown","id 0, title end, id 0, title L.A. CONFIDENTIAL",2021-12-07T014144.652+0100,2021-12-30T061249.625+0100,Tyrannus audio auris. Vinco carcer congregatio.
"rate 4, label FOUR","id None, metadata title THE MONKEYS RAINCOAT, pages unknown","id 0, title INCEPTION, id 0, title end",2021-12-29T070424.209+0100,2021-12-27T062813.834+0100,Tergo depulso soluta. Cumque auctus vere.
"rate 5, label FIVE","id None, metadata title EYELESS IN GAZA, pages unknown","id 0, title end, id 0, title LOCK, STOCK AND TWO SMOKING BARRELS",2021-12-25T051227.063+0100,2021-12-26T051509.764+0100,Contra congregatio tener. Censura abbas coruscus.
"rate 1, label ONE","id None, metadata title GONE WITH THE WIND, pages unknown","id 0, title end, id 0, title GLADIATOR",2021-12-12T060325.294+0100,2021-12-14T151052.975+0100,Distinctio vacuus incidunt. Id nam sortitus.
"rate 4, label FOUR","id None, metadata title THE TORMENT OF OTHERS, pages unknown","id 0, title end, id 0, title MR. SMITH GOES TO WASHINGTON",2021-12-05T123313.405+0100,2021-12-29T072434.440+0100,Pecus venia aperio. Comburo suasoria tantillus.
"rate 1, label ONE","id None, metadata title IF I FORGET THEE JERUSALEM, pages unknown","id 0, title DOUBLE INDEMNITY, id 0, title end",2021-12-07T084808.512+0100,2021-12-05T091226.781+0100,Talio antiquus eum. Blandior culpo alias.
"rate 4, label FOUR","id None, metadata title BLITHE SPIRIT, pages unknown","id 0, title end, id 0, title HACKSAW RIDGE",2021-12-10T121445.716+0100,2021-12-17T221616.167+0100,Vulpes confugo facilis. Cuppedia trans appello.
"rate 4, label FOUR","id None, metadata title A TIME TO KILL, pages unknown","id 0, title THE GREAT DICTATOR, id 0, title end",2021-12-06T064059.674+0100,2021-12-04T093309.439+0100,Vicinus stultus comparo. Consequuntur talis atrox.
"rate 3, label THREE","id None, metadata title ITS A BATTLEFIELD, pages unknown","id 0, title end, id 0, title INDIANA JONES AND THE LAST CRUSADE",2021-12-28T175306.576+0100,2021-12-02T072435.472+0100,Tertius totidem thymbra. Strenuus tendo tot.
"rate 2, label TWO","id None, metadata title ARMS AND THE MAN, pages unknown","id 0, title ALL ABOUT EVE, id 0, title end",2021-12-29T182107.257+0100,2021-12-17T054901.923+0100,Sollicito cultura utor. Culpa armo arbitro.
"rate 4, label FOUR","id None, metadata title SURPRISED BY JOY, pages unknown","id 0, title THE THING, id 0, title end",2021-12-08T034222.805+0100,2021-12-30T002435.865+0100,Ea caelum arguo. Tui tergeo vigilo.
"rate 3, label THREE","id None, metadata title CARRION COMFORT, pages unknown","id 0, title THE GENERAL, id 0, title end",2021-12-24T080022.642+0100,2021-12-25T152211.920+0100,Sol derelinquo voluptatem. Colloco quia adiuvo.
"rate 4, label FOUR","id None, metadata title THE WAY THROUGH THE WOODS, pages unknown","id 0, title LIFE OF BRIAN, id 0, title end",2021-12-21T012120.630+0100,2021-12-16T142922.020+0100,Spectaculum vis vitae. Sortitus degusto substantia.
"rate 5, label FIVE","id None, metadata title EYELESS IN GAZA, pages unknown","id 0, title end, id 0, title THE BRIDGE ON THE RIVER KWAI",2021-12-30T160637.303+0100,2021-12-18T055551.144+0100,Corrupti canto arceo. Vereor clibanus combibo.
"rate 1, label ONE","id None, metadata title AS I LAY DYING, pages unknown","id 0, title THE GENERAL, id 0, title end",2021-12-02T060436.379+0100,2021-12-16T011822.181+0100,Ex attero ager. Color quo commodi.
"rate 1, label ONE","id None, metadata title BURY MY HEART AT WOUNDED KNEE, pages unknown","id 0, title end, id 0, title A WEDNESDAY",2021-12-28T141009.950+0100,2021-12-27T121026.510+0100,Admitto ustilo testimonium. Voveo causa adfero.
"rate 5, label FIVE","id None, metadata title EAST OF EDEN, pages unknown","id 0, title METROPOLIS, id 0, title end",2021-12-18T204134.699+0100,2021-12-24T033123.504+0100,Sopor patior caveo. Asper decipio corrupti.
"rate 1, label ONE","id None, metadata title THE GOLDEN BOWL, pages unknown","id 0, title end, id 0, title SAVING PRIVATE RYAN",2021-12-14T044450.003+0100,2021-12-30T064338.880+0100,Abbas combibo adstringo. Urbs acceptus in.
"rate 1, label ONE","id None, metadata title THE LATHE OF HEAVEN, pages unknown","id 0, title MONTY PYTHON AND THE HOLY GRAIL, id 0, title end",2021-12-24T232709.051+0100,2021-12-20T002010.807+0100,Tener ancilla certe. Spes templum eos.
"rate 3, label THREE","id None, metadata title LILIES OF THE FIELD, pages unknown","id 0, title end, id 0, title INSIDE OUT",2021-12-15T022630.656+0100,2021-12-08T013213.568+0100,Admitto stabilis vicinus. Speciosus averto amo.
"rate 1, label ONE","id None, metadata title WAITING FOR THE BARBARIANS, pages unknown","id 0, title THE GOLD RUSH, id 0, title end",2021-12-13T221017.566+0100,2021-12-17T141301.338+0100,Teneo studio utrimque. Testimonium architecto advenio.
"rate 3, label THREE","id None, metadata title OH! TO BE IN ENGLAND, pages unknown","id 0, title end, id 0, title STAR WARS EPISODE I – THE PHANTOM MENACE",2021-12-12T110832.857+0100,2021-12-29T090916.395+0100,Angulus utpote autem. Angulus turba asper.
"rate 2, label TWO","id None, metadata title THINGS FALL APART, pages unknown","id 0, title end, id 0, title PERSONA",2021-12-27T173029.560+0100,2021-12-05T172321.665+0100,Apparatus peior decipio. Valens adhuc thymbra.
"rate 1, label ONE","id None, metadata title THE MOVING FINGER, pages unknown","id 0, title THE DEER HUNTER, id 0, title end",2021-12-26T154016.376+0100,2021-12-03T053700.216+0100,Amita tenax vir. Aeneus theca viriliter.
"rate 2, label TWO","id None, metadata title CLOUDS OF WITNESS, pages unknown","id 0, title end, id 0, title NO COUNTRY FOR OLD MEN",2021-12-16T030310.403+0100,2021-12-08T210223.918+0100,Veniam decet odit. At nesciunt tricesimus.
"rate 3, label THREE","id None, metadata title O JERUSALEM!, pages unknown","id 0, title end, id 0, title ONCE UPON A TIME IN AMERICA",2021-12-13T190949.650+0100,2021-12-12T132526.328+0100,Peior certo adficio. Versus conforto possimus.
"rate 4, label FOUR","id None, metadata title THINGS FALL APART, pages unknown","id 0, title PLATOON, id 0, title end",2021-12-15T233251.884+0100,2021-12-23T013938.241+0100,Venustas demens rerum. Denuncio benigne acer.
"rate 2, label TWO","id None, metadata title BLITHE SPIRIT, pages unknown","id 0, title end, id 0, title 12 YEARS A SLAVE",2021-12-11T221006.840+0100,2021-12-29T170226.988+0100,Aro facilis acquiro. Velociter calco territo.
"rate 2, label TWO","id None, metadata title A TIME TO KILL, pages unknown","id 0, title end, id 0, title VERTIGO",2021-12-15T000204.549+0100,2021-12-30T151519.988+0100,Vitae acsi commodo. Libero arceo consuasor.
"rate 4, label FOUR","id None, metadata title THE YELLOW MEADS OF ASPHODEL, pages unknown","id 0, title end, id 0, title HOW TO TRAIN YOUR DRAGON",2021-12-12T143905.894+0100,2021-12-12T002912.865+0100,Administratio dolore molestiae. Condico audeo non.
"rate 3, label THREE","id None, metadata title MR STANDFAST, pages unknown","id 0, title end, id 0, title GOOD WILL HUNTING",2021-12-16T123416.609+0100,2021-12-06T205346.305+0100,Cohibeo pel substantia. Turpis agnitio vomica.
"rate 2, label TWO","id None, metadata title BEYOND THE MEXIQUE BAY, pages unknown","id 0, title end, id 0, title THE MATRIX",2021-12-28T074906.182+0100,2021-12-04T174444.843+0100,Sui adduco aurum. Minus cupio adfero.
"rate 4, label FOUR","id None, metadata title BURY MY HEART AT WOUNDED KNEE, pages unknown","id 0, title end, id 0, title THE TERMINATOR",2021-12-23T013705.664+0100,2021-12-09T232743.050+0100,Adopto spiculum defetiscor. Non aptus suffoco.
"rate 1, label ONE","id None, metadata title THE WAY OF ALL FLESH, pages unknown","id 0, title end, id 0, title TOY STORY 3",2021-12-16T072600.004+0100,2021-12-17T092820.605+0100,Debilito capto advenio. Sortitus velut pariatur.
"rate 5, label FIVE","id None, metadata title I SING THE BODY ELECTRIC, pages unknown","id 0, title THE PRESTIGE, id 0, title end",2021-12-18T153833.269+0100,2021-12-17T112051.751+0100,Dolor aetas aranea. Iure unus magni.
"rate 4, label FOUR","id None, metadata title WHERE ANGELS FEAR TO TREAD, pages unknown","id 0, title THE BEST YEARS OF OUR LIVES, id 0, title end",2021-12-04T105146.020+0100,2021-12-01T021952.224+0100,Amita cicuta aspicio. Animi tubineus tribuo.
"rate 4, label FOUR","id None, metadata title THE TORMENT OF OTHERS, pages unknown","id 0, title end, id 0, title APOCALYPSE NOW",2021-12-20T045429.062+0100,2021-12-16T004720.907+0100,Numquam degero cursus. Veritas sulum aegrotatio.
"rate 1, label ONE","id None, metadata title TENDER IS THE NIGHT, pages unknown","id 0, title THE GREEN MILE, id 0, title end",2021-12-15T204402.637+0100,2021-12-30T011438.818+0100,Adultus socius vado. Voluptas consequuntur caveo.
"rate 1, label ONE","id None, metadata title FEAR AND TREMBLING, pages unknown","id 0, title CATCH ME IF YOU CAN, id 0, title end",2021-12-30T202059.726+0100,2021-12-11T185145.105+0100,Minus coaegresco totam. Culpa congregatio rem.
"rate 1, label ONE","id None, metadata title THIS LIME TREE BOWER, pages unknown","id 0, title THE KID, id 0, title end",2021-12-15T124437.182+0100,2021-12-09T160436.440+0100,Tepidus ut cunctatio. Curtus cohors porro.
"rate 5, label FIVE","id None, metadata title EAST OF EDEN, pages unknown","id 0, title end, id 0, title THE BIG LEBOWSKI",2021-12-26T002220.057+0100,2021-12-27T114623.530+0100,Praesentium canonicus crinis. Sonitus deficio non.
"rate 4, label FOUR","id None, metadata title OF HUMAN BONDAGE, pages unknown","id 0, title end, id 0, title THE WIZARD OF OZ",2021-12-03T041546.776+0100,2021-12-19T065339.669+0100,Terror utilis quod. Argumentum articulus vito.
"rate 1, label ONE","id None, metadata title INFINITE JEST, pages unknown","id 0, title end, id 0, title ALL ABOUT EVE",2021-12-19T034903.290+0100,2021-12-08T075213.976+0100,Desolo dolores depromo. Venia vado maiores.
"rate 2, label TWO","id None, metadata title THE WAY OF ALL FLESH, pages unknown","id 0, title WITNESS FOR THE PROSECUTION, id 0, title end",2021-12-09T193011.680+0100,2021-12-11T014427.266+0100,Combibo atrox adulescens. Bestia tandem pauci.
"rate 5, label FIVE","id None, metadata title SHALL NOT PERISH, pages unknown","id 0, title end, id 0, title DOG DAY AFTERNOON",2021-12-23T031833.106+0100,2021-12-12T115622.157+0100,Absque mollitia ea. Admitto optio ut.
"rate 5, label FIVE","id None, metadata title AN ACCEPTABLE TIME, pages unknown","id 0, title end, id 0, title THE KID",2021-12-30T002618.618+0100,2021-12-19T100351.057+0100,Ventito cognomen desolo. Virga audax curo.
"rate 1, label ONE","id None, metadata title FAME IS THE SPUR, pages unknown","id 0, title JAWS, id 0, title end",2021-12-26T131420.702+0100,2021-12-30T062419.876+0100,Coepi sit quod. Tametsi est vir.
"rate 3, label THREE","id None, metadata title THE PAINTED VEIL, pages unknown","id 0, title end, id 0, title PULP FICTION",2021-12-12T103207.693+0100,2021-12-22T002459.638+0100,Usus unus verto. Aggero acervus delicate.
"rate 3, label THREE","id None, metadata title COVER HER FACE, pages unknown","id 0, title end, id 0, title PSYCHO",2021-12-18T052903.948+0100,2021-12-04T214608.525+0100,Vox ceno utrum. Alienus deficio dolor.
"rate 3, label THREE","id None, metadata title IF I FORGET THEE JERUSALEM, pages unknown","id 0, title A WEDNESDAY, id 0, title end",2021-12-30T001251.696+0100,2021-12-14T225217.555+0100,Sui atrocitas crux. Acerbitas utroque ultra.
"rate 2, label TWO","id None, metadata title ARMS AND THE MAN, pages unknown","id 0, title end, id 0, title BRAVEHEART",2021-12-16T135222.692+0100,2021-12-21T032817.680+0100,Corona comminor placeat. Curiositas creator arma.
"rate 2, label TWO","id None, metadata title NOLI ME TANGERE, pages unknown","id 0, title BEAUTY AND THE BEAST, id 0, title end",2021-12-06T150849.866+0100,2021-12-22T143441.899+0100,Vereor creber ut. Advenio pel succurro.
"rate 3, label THREE","id None, metadata title NO HIGHWAY, pages unknown","id 0, title end, id 0, title THE SHAWSHANK REDEMPTION",2021-12-13T154750.472+0100,2021-12-17T201503.293+0100,Creta deserunt porro. Culpa laudantium ars.
"rate 4, label FOUR","id None, metadata title THE LAST TEMPTATION, pages unknown","id 0, title end, id 0, title TOY STORY",2021-12-19T073034.385+0100,2021-12-15T203649.843+0100,Adaugeo tunc eius. Currus desino comminor.
"rate 2, label TWO","id None, metadata title THE MONKEYS RAINCOAT, pages unknown","id 0, title end, id 0, title FORREST GUMP",2021-12-28T150408.613+0100,2021-12-25T133332.781+0100,Stipes voro sum. Vester occaecati tui.
"rate 2, label TWO","id None, metadata title WHERE ANGELS FEAR TO TREAD, pages unknown","id 0, title MODERN TIMES, id 0, title end",2021-12-14T164024.046+0100,2021-12-19T211627.206+0100,Cupiditate concedo sub. Quod turbo approbo.
"rate 5, label FIVE","id None, metadata title FAME IS THE SPUR, pages unknown","id 0, title SNATCH, id 0, title end",2021-12-05T094246.869+0100,2021-12-13T071023.126+0100,Carbo taedium speciosus. Tardus defetiscor despirmatio.
"rate 4, label FOUR","id None, metadata title CARRION COMFORT, pages unknown","id 0, title end, id 0, title PRINCESS MONONOKE",2021-12-24T131514.955+0100,2021-12-24T220138.102+0100,Varius aspernatur tabella. Dolores eligendi aut.
"rate 3, label THREE","id None, metadata title BURY MY HEART AT WOUNDED KNEE, pages unknown","id 0, title end, id 0, title GONE GIRL",2021-12-30T225512.968+0100,2021-12-27T112327.698+0100,Quo celer suggero. Coniecto vulgus canto.
"rate 1, label ONE","id None, metadata title THE SUN ALSO RISES, pages unknown","id 0, title end, id 0, title DUNKIRK",2021-12-06T073028.983+0100,2021-12-04T142010.558+0100,Trucido depono canonicus. Debitis ago venustas.
"rate 4, label FOUR","id None, metadata title FOR WHOM THE BELL TOLLS, pages unknown","id 0, title end, id 0, title FINDING NEMO",2021-12-09T115014.006+0100,2021-12-10T231649.626+0100,Audacia cultellus et. Ambitus quaerat subnecto.
"rate 4, label FOUR","id None, metadata title VANITY FAIR, pages unknown","id 0, title STAR WARS EPISODE III – REVENGE OF THE SITH, id 0, title end",2021-12-12T030726.151+0100,2021-12-08T130314.669+0100,Conitor cultellus peccatus. Debitis textilis suus.
"rate 2, label TWO","id None, metadata title THE GOLDEN APPLES OF THE SUN, pages unknown","id 0, title end, id 0, title SEVEN SAMURAI",2021-12-23T130315.859+0100,2021-12-05T050600.484+0100,Quia accipio demergo. Urbs quia sonitus.
"rate 5, label FIVE","id None, metadata title ALONE ON A WIDE, WIDE SEA, pages unknown","id 0, title end, id 0, title THE GODFATHER PART II",2021-12-05T050641.024+0100,2021-12-06T155042.006+0100,Demoror verbum admoveo. Villa compello denique.
"rate 4, label FOUR","id None, metadata title WHEN THE GREEN WOODS LAUGH, pages unknown","id 0, title THE GRAND BUDAPEST HOTEL, id 0, title end",2021-12-27T005845.616+0100,2021-12-24T182225.279+0100,Cubitum cenaculum auditor. Sequi et usque.
"rate 4, label FOUR","id None, metadata title THE LAST TEMPTATION, pages unknown","id 0, title end, id 0, title CITY LIGHTS",2021-12-11T151105.643+0100,2021-12-06T040545.375+0100,Abstergo vito deripio. Cruciamentum tener succurro.
"rate 5, label FIVE","id None, metadata title ENDLESS NIGHT, pages unknown","id 0, title end, id 0, title SPOTLIGHT",2021-12-15T005303.811+0100,2021-12-02T153417.459+0100,Alioqui confero bos. Vado spero assentator.
"rate 5, label FIVE","id None, metadata title INFINITE JEST, pages unknown","id 0, title end, id 0, title COOL HAND LUKE",2021-12-15T150904.579+0100,2021-12-14T092953.420+0100,Venio caterva delinquo. Defluo apud vae.
"rate 2, label TWO","id None, metadata title BUTTER IN A LORDLY DISH, pages unknown","id 0, title AMERICAN BEAUTY, id 0, title end",2021-12-22T084921.067+0100,2021-12-28T092641.164+0100,Totam defigo uterque. Amaritudo possimus colligo.
"rate 3, label THREE","id None, metadata title EAST OF EDEN, pages unknown","id 0, title FINDING NEMO, id 0, title end",2021-12-29T142534.622+0100,2021-12-12T121748.914+0100,Color sumo pecco. Audentia ex officia.
"rate 1, label ONE","id None, metadata title BEYOND THE MEXIQUE BAY, pages unknown","id 0, title GOOD WILL HUNTING, id 0, title end",2021-12-23T034331.171+0100,2021-12-10T200953.756+0100,Demulceo bardus et. Bellicus et complectus.
"rate 2, label TWO","id None, metadata title PRECIOUS BANE, pages unknown","id 0, title A WEDNESDAY, id 0, title end",2021-12-21T200137.644+0100,2021-12-19T101242.857+0100,Volo denique articulus. Cerno voluptates vallum.
"rate 5, label FIVE","id None, metadata title ALONE ON A WIDE, WIDE SEA, pages unknown","id 0, title end, id 0, title THE BIG LEBOWSKI",2021-12-09T230004.323+0100,2021-12-24T071851.830+0100,Talus quia vacuus. Nulla tergeo tumultus.
"rate 3, label THREE","id None, metadata title THE MIRROR CRACKD FROM SIDE TO SIDE, pages unknown","id 0, title end, id 0, title THE STING",2021-12-13T205052.175+0100,2021-12-25T154309.486+0100,Acquiro a mollitia. Thalassinus depromo hic.
"rate 3, label THREE","id None, metadata title THE GLORY AND THE DREAM, pages unknown","id 0, title end, id 0, title TERMINATOR 2 JUDGMENT DAY",2021-12-23T082209.259+0100,2021-12-04T075630.214+0100,Inflammatio aut ancilla. Capillus chirographum adiuvo.
"rate 5, label FIVE","id None, metadata title TO SAY NOTHING OF THE DOG, pages unknown","id 0, title TO KILL A MOCKINGBIRD, id 0, title end",2021-12-29T112517.616+0100,2021-12-28T221151.529+0100,Arbor voco ater. Artificiose doloribus acsi.
"rate 1, label ONE","id None, metadata title THE WORLD, THE FLESH AND THE DEVIL, pages unknown","id 0, title end, id 0, title INSIDE OUT",2021-12-07T155807.496+0100,2021-12-02T133522.667+0100,Vesica adnuo curvo. Vereor unus verus.
"rate 1, label ONE","id None, metadata title THE LAST ENEMY, pages unknown","id 0, title end, id 0, title THE BOURNE ULTIMATUM",2021-12-17T043913.533+0100,2021-12-04T175207.687+0100,Venio provident rerum. Subvenio aliquid adfero.
"rate 3, label THREE","id None, metadata title CONSIDER THE LILIES, pages unknown","id 0, title VERTIGO, id 0, title end",2021-12-10T183347.774+0100,2021-12-09T135452.908+0100,Ustulo verbera voluptates. Sunt curiositas deprecator.
